id,date,value,optin,giftaid,appeal,platform,sourcecode,campaign,source,medium,creative,audience,warm
ICC14212809035,27/07/2020 15:59,10.0,True,True,UK Coronavirus Response,WorldPay,170463,Kindness Will Keep Us Together,Direct Mail,Offline,Donate Landing_July donate,Warm Supporters,
ICC14212795687,27/07/2020 15:55,50.0,False,True,UK Coronavirus Response,WorldPay,170463,,,,,,
ICC18077848373,27/07/2020 15:54,60.0,,True,Global Coronavirus Appeal,WorldPay,173448,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 non openers_Copy 2_DEC Coronavirus Appeal,Emergency Donors,OptInNotReshown
ICC14212719098,27/07/2020 15:31,10.0,False,False,Global Coronavirus Appeal,WorldPay,170463,,,,,,
ICC18077762060,27/07/2020 15:27,50.0,False,True,Yemen Crisis Appeal,WorldPay,170463,,,,,,
ICC18077758919,27/07/2020 15:26,100.0,False,True,UK Coronavirus Response,WorldPay,170463,,,,,,
ICC19077256925,27/07/2020 15:13,15.0,False,True,Global Coronavirus Appeal,WorldPay,170458,UK Fund Appeal,Homepage Herobox,Internal,Donate Landing_Homepage summer 2020,BRC Site,
5B515230292365134,27/07/2020 15:13,30.0,False,True,Yemen Crisis Appeal,Paypal,170460,Yemen Crisis Appeal,google,cpc,generic,help yemen,
99L37526BN753694D,27/07/2020 15:12,25.0,,True,Global Coronavirus Appeal,Paypal,173447,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown
ICC18077673909,27/07/2020 15:00,20.0,,True,Global Coronavirus Appeal,WorldPay,173448,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 non openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown
ICC14212613347,27/07/2020 14:57,50.0,False,True,Global Coronavirus Appeal,WorldPay,170459,Kindness Will Keep Us Together,bing,cpc,brand,pure brand,
ICC19077162031,27/07/2020 14:44,15.0,,True,Global Coronavirus Appeal,WorldPay,173447,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown
ICC14212556152,27/07/2020 14:37,250.0,False,False,UK Coronavirus Response,WorldPay,170458,UK Fund Appeal,Homepage Promo Box,Internal,Donate Landing_Kindness will keep us together VVCP content red box,BRC Site,
ICC19077133462,27/07/2020 14:32,10.0,False,True,Global Coronavirus Appeal,WorldPay,170463,,,,,,
ICC14212534640,27/07/2020 14:30,5.0,False,False,UK Coronavirus Response,WorldPay,170463,,,,,,
ICC18077573822,27/07/2020 14:25,10.0,False,False,Yemen Crisis Appeal,WorldPay,170463,,,,,,
ICC18077548462,27/07/2020 14:16,10.0,False,True,UK Coronavirus Response,WorldPay,170463,,,,,,
ICC18077513435,27/07/2020 14:04,30.0,False,True,UK Coronavirus Response,WorldPay,170463,,,,,,
5JC531870B563043B,27/07/2020 13:41,100.0,False,True,UK Coronavirus Response,Paypal,170463,,,,,,
ICC19076986762,27/07/2020 13:40,25.0,True,True,UK Coronavirus Response,WorldPay,170459,Kindness Will Keep Us Together,bing,cpc,brand,pure brand,
2MD34229U43334411,27/07/2020 13:37,50.0,False,True,UK Coronavirus Response,Paypal,170463,,,,,,
ICC18077433534,27/07/2020 13:36,20.0,False,True,UK Coronavirus Response,WorldPay,170463,,,,,,
ICC18077427026,27/07/2020 13:35,50.0,False,True,Syria Crisis Appeal,WorldPay,170463,,,,,,
ICC18077404177,27/07/2020 13:26,15.0,False,True,UK Coronavirus Response,WorldPay,170463,,,,,,
10D193040Y330812M,27/07/2020 13:24,5.0,False,True,Yemen Crisis Appeal,Paypal,170460,Yemen Crisis Appeal,google,cpc,generic,yemen donate,
ICC14212323603,27/07/2020 13:13,25.0,False,False,UK Coronavirus Response,WorldPay,170460,Kindness Will Keep Us Together,google,cpc,brand,brand,
ICC18077327641,27/07/2020 12:59,5.0,,True,Global Coronavirus Appeal,WorldPay,173447,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown
80631314VH5621207,27/07/2020 12:45,51.0,False,True,UK Coronavirus Response,Paypal,170463,,,,,,
7A24290708937304R,27/07/2020 12:34,10.0,,False,Global Coronavirus Appeal,Paypal,173447,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown
6Y7963828Y774034H,27/07/2020 11:59,5.0,False,True,Yemen Crisis Appeal,Paypal,170460,Yemen Crisis Appeal,google,cpc,generic,help yemen,
ICC19076669529,27/07/2020 11:45,50.0,False,True,Global Coronavirus Appeal,WorldPay,170464,Global Coronavirus Appeal,Twitter,Social Post,Donate Landing_DEC appeal,BRC Followers,
ICC18077087374,27/07/2020 11:29,30.0,False,True,Yemen Crisis Appeal,WorldPay,170460,Yemen Crisis Appeal,google,cpc,generic,yemen donate,
ICC18077069600,27/07/2020 11:23,100.0,False,True,National Emergencies Trust Coronavirus Appeal,WorldPay,170460,National Emergencies Trust Coronavirus Appeal,google,cpc,brand,donate,
ICC14212025941,27/07/2020 11:22,12.0,False,True,UK Coronavirus Response,WorldPay,170458,UK Fund Appeal,Homepage Herobox,Internal,Donate Landing_Homepage summer 2020,BRC Site,
ICC14212013412,27/07/2020 11:17,25.0,,True,Global Coronavirus Appeal,WorldPay,173358,Global Coronavirus Appeal,Salesforce,Email,Donate_DEC Coronavirus Appeal launch_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown
ICC14211995928,27/07/2020 11:11,5.0,True,False,UK Coronavirus Response,WorldPay,170463,,,,,,
2R2662620R970172Y,27/07/2020 11:09,50.0,False,True,Donate in Memory,Paypal,170463,,,,,,
ICC18077028603,27/07/2020 11:08,25.0,,False,Global Coronavirus Appeal,WorldPay,173358,Global Coronavirus Appeal,Salesforce,Email,Donate_DEC Coronavirus Appeal launch_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown
9N6384083C216034M,27/07/2020 11:01,5.0,False,True,UK Coronavirus Response,Paypal,170463,,,,,,
ICC14211938355,27/07/2020 10:50,10.0,,True,Global Coronavirus Appeal,WorldPay,173448,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 non openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown
