CRO58_giftvals,,,
Last Run On,2020-10-29 16:45:01,,
View Name,Master View,,
Total Results Found,940,,
Total Results Returned,940,,
Contains Sampled Data,No,,
,,,
,,,
,,,
Totals For All Results,,,
,,Unique Purchases,Product Revenue
,,979,46971.5
,,,
Results Breakdown,,,
Transaction ID,Experiment ID with Variant,Unique Purchases,Product Revenue
ICC17040920014,p1QJ_NkPQ9upbkKUn--OhQ:0,1,30
ICC17040926828,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC17040927871,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
ICC17040928785,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC17040931374,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC17040937021,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC17041097679,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC17041146534,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC17041179909,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC17041234283,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC17041457270,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
ICC17041530436,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC17041702567,p1QJ_NkPQ9upbkKUn--OhQ:0,1,15
ICC17042868435,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC17042886013,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC17042973658,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC17043063409,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC17043113617,p1QJ_NkPQ9upbkKUn--OhQ:0,1,20
ICC17047227428,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC17047385023,p1QJ_NkPQ9upbkKUn--OhQ:0,1,1000
ICC17047709292,p1QJ_NkPQ9upbkKUn--OhQ:1,1,5
ICC18039645277,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC18039664473,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC18039671374,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC18039683985,p1QJ_NkPQ9upbkKUn--OhQ:1,2,40
ICC18039685857,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC18039687460,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC18039688881,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
ICC18039695877,p1QJ_NkPQ9upbkKUn--OhQ:0,1,60
ICC18039707007,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC18039733005,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC18039758422,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC18039775634,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC18039786041,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC18039834479,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC18040207221,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC18040260571,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC18040287724,p1QJ_NkPQ9upbkKUn--OhQ:1,1,25
ICC18040312439,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC18040365527,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC18040400635,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC18040409972,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC18040413605,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
ICC18040424778,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC18040427608,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC18040435184,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC18040437624,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC18040439370,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC18040454610,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC18040516738,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC18040542873,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC18040620777,p1QJ_NkPQ9upbkKUn--OhQ:0,1,1000
ICC18040725341,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
ICC18040732570,p1QJ_NkPQ9upbkKUn--OhQ:0,1,20
ICC18040736163,p1QJ_NkPQ9upbkKUn--OhQ:0,1,500
ICC18040748180,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC18040795278,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
ICC18040832650,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC18040929787,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC18041385815,p1QJ_NkPQ9upbkKUn--OhQ:0,1,200
ICC18041981097,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC18042523986,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC18043939384,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
ICC18044237587,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC18044652315,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
ICC18045207898,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC18048649410,p1QJ_NkPQ9upbkKUn--OhQ:1,1,300
ICC18048833858,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC18048848429,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC18049257391,p1QJ_NkPQ9upbkKUn--OhQ:1,1,150
ICC18050707907,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC18056358639,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC18059494053,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC18062326084,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC18062326685,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC18062327515,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
ICC18062339142,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC18062340174,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
ICC18062354308,p1QJ_NkPQ9upbkKUn--OhQ:1,2,20
ICC18062356944,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
ICC18062357945,p1QJ_NkPQ9upbkKUn--OhQ:0,2,50
ICC18062362862,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC18062365737,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC18062393355,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC18062450409,p1QJ_NkPQ9upbkKUn--OhQ:1,1,5
ICC18062473604,p1QJ_NkPQ9upbkKUn--OhQ:1,2,60
ICC18062474703,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC18062486915,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC18062500868,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC18062521580,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
ICC18062536034,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC18062581411,p1QJ_NkPQ9upbkKUn--OhQ:1,1,300
ICC18062586985,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
ICC18062594124,p1QJ_NkPQ9upbkKUn--OhQ:1,2,50
ICC18062612229,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC18062641247,p1QJ_NkPQ9upbkKUn--OhQ:0,2,40
ICC18062676655,p1QJ_NkPQ9upbkKUn--OhQ:1,2,200
ICC18062692132,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC18062706941,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
ICC18062829138,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
ICC18062926035,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC18062928424,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC18063012916,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
ICC18063130093,p1QJ_NkPQ9upbkKUn--OhQ:0,1,20
ICC18063169482,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC18063198438,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC18063268777,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC18063310187,p1QJ_NkPQ9upbkKUn--OhQ:0,1,15
ICC18063732734,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC18064218090,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC18064299404,p1QJ_NkPQ9upbkKUn--OhQ:1,1,250
ICC18065030346,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC18065243725,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC18065535938,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC18065777023,p1QJ_NkPQ9upbkKUn--OhQ:1,1,80
ICC18066207475,p1QJ_NkPQ9upbkKUn--OhQ:1,1,150
ICC18066524226,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC18067721357,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC18067977190,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC18070094476,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC18071719344,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC18072818061,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC18074075340,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC18075209981,p1QJ_NkPQ9upbkKUn--OhQ:0,1,200
ICC18076584414,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC18076856143,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
ICC18077028603,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC18077327641,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
ICC18077673909,p1QJ_NkPQ9upbkKUn--OhQ:0,1,20
ICC18077848373,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
ICC18080767490,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC19039564738,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
ICC19039570320,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
ICC19039572678,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC19039589236,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC19039593451,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC19039595491,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC19039616813,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC19039630736,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC19039634689,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC19039635971,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC19039649298,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC19039692485,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC19039696335,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
ICC19039719255,p1QJ_NkPQ9upbkKUn--OhQ:1,1,250
ICC19039752625,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC19039811428,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC19039817315,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC19039867398,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC19040310643,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC19040319292,p1QJ_NkPQ9upbkKUn--OhQ:1,1,25
ICC19040328158,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC19040330694,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC19040350462,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
ICC19040411656,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC19040441144,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC19040450141,p1QJ_NkPQ9upbkKUn--OhQ:1,2,20
ICC19040451229,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC19040451486,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC19040518058,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC19040531758,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC19040622662,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC19040632532,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC19040638343,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC19040803325,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC19040841302,p1QJ_NkPQ9upbkKUn--OhQ:0,1,75
ICC19042017913,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC19042308484,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
ICC19042486898,p1QJ_NkPQ9upbkKUn--OhQ:0,1,120
ICC19044384228,p1QJ_NkPQ9upbkKUn--OhQ:0,3,150
ICC19049058531,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC19051151182,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC19053833860,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC19053970977,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC19054304257,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC19056570146,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
ICC19056899536,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC19058570780,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC19062128600,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC19062133846,p1QJ_NkPQ9upbkKUn--OhQ:0,2,50
ICC19062139145,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC19062142023,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC19062142193,p1QJ_NkPQ9upbkKUn--OhQ:0,1,30
ICC19062144731,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC19062147756,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC19062153239,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC19062154438,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC19062181288,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC19062212473,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC19062221569,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC19062237072,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC19062240752,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC19062246318,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC19062250387,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC19062259004,p1QJ_NkPQ9upbkKUn--OhQ:0,1,15
ICC19062275875,p1QJ_NkPQ9upbkKUn--OhQ:1,1,10
ICC19062276485,p1QJ_NkPQ9upbkKUn--OhQ:1,1,25
ICC19062277931,p1QJ_NkPQ9upbkKUn--OhQ:1,1,25
ICC19062298501,p1QJ_NkPQ9upbkKUn--OhQ:1,1,250
ICC19062318364,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
ICC19062353791,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC19062356888,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC19062383212,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC19062393257,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC19062461376,p1QJ_NkPQ9upbkKUn--OhQ:1,1,60
ICC19062485070,p1QJ_NkPQ9upbkKUn--OhQ:1,2,60
ICC19062605023,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC19062749017,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC19062786484,p1QJ_NkPQ9upbkKUn--OhQ:0,1,20
ICC19062795536,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC19062812411,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC19062893451,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
ICC19062901632,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC19062915949,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC19063151139,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC19063176804,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC19063350031,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC19063382060,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
ICC19063427398,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC19063602485,p1QJ_NkPQ9upbkKUn--OhQ:0,1,35
ICC19063746798,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC19063826467,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC19065130280,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC19065232932,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC19065387744,p1QJ_NkPQ9upbkKUn--OhQ:0,1,20
ICC19065620580,p1QJ_NkPQ9upbkKUn--OhQ:1,1,100
ICC19065859996,p1QJ_NkPQ9upbkKUn--OhQ:0,1,500
ICC19065918545,p1QJ_NkPQ9upbkKUn--OhQ:1,1,5
ICC19066154582,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
ICC19066299397,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
ICC19066643191,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
ICC19067724633,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
ICC19069006611,p1QJ_NkPQ9upbkKUn--OhQ:0,1,200
ICC19069438469,p1QJ_NkPQ9upbkKUn--OhQ:0,1,160
ICC19070386843,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
ICC19072825335,p1QJ_NkPQ9upbkKUn--OhQ:0,1,20
ICC19072897541,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
ICC19073464121,p1QJ_NkPQ9upbkKUn--OhQ:0,1,100
ICC19076346586,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
ICC19077162031,p1QJ_NkPQ9upbkKUn--OhQ:0,1,15
ICC19077887162,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
ICC19082128133,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
